id	userid	pose	expression	eyes
train_0000.jpg	choon	straight	angry	open
train_0001.jpg	kk49	straight	angry	open
train_0002.jpg	phoebe	right	sad	sunglasses
train_0003.jpg	kawamura	left	neutral	sunglasses
train_0004.jpg	an2i	left	happy	sunglasses
train_0005.jpg	megak	straight	neutral	open
train_0006.jpg	phoebe	left	happy	open
train_0007.jpg	saavik	straight	happy	sunglasses
train_0008.jpg	at33	straight	neutral	sunglasses
train_0009.jpg	an2i	up	happy	sunglasses
train_0010.jpg	glickman	right	happy	sunglasses
train_0011.jpg	karyadi	straight	neutral	sunglasses
train_0012.jpg	night	left	happy	sunglasses
train_0013.jpg	tammo	up	sad	open
train_0014.jpg	choon	straight	happy	open
train_0015.jpg	megak	up	angry	open
train_0016.jpg	at33	right	happy	sunglasses
train_0017.jpg	megak	right	sad	sunglasses
train_0018.jpg	tammo	left	neutral	sunglasses
train_0019.jpg	kk49	up	sad	sunglasses
train_0020.jpg	kk49	up	angry	sunglasses
train_0021.jpg	kk49	right	sad	sunglasses
train_0022.jpg	phoebe	up	happy	sunglasses
train_0023.jpg	at33	left	happy	sunglasses
train_0024.jpg	danieln	straight	happy	open
train_0025.jpg	at33	up	happy	open
train_0026.jpg	megak	left	sad	open
train_0027.jpg	megak	right	angry	sunglasses
train_0028.jpg	night	up	angry	open
train_0029.jpg	sz24	straight	happy	open
train_0030.jpg	sz24	up	happy	open
train_0031.jpg	glickman	right	angry	sunglasses
train_0032.jpg	boland	left	sad	open
train_0033.jpg	kawamura	straight	sad	open
train_0034.jpg	karyadi	straight	sad	open
train_0035.jpg	megak	left	sad	sunglasses
train_0036.jpg	danieln	left	happy	sunglasses
train_0037.jpg	glickman	left	angry	sunglasses
train_0038.jpg	choon	straight	sad	sunglasses
train_0039.jpg	at33	up	neutral	open
train_0040.jpg	phoebe	straight	sad	sunglasses
train_0041.jpg	kawamura	right	neutral	sunglasses
train_0042.jpg	karyadi	up	neutral	open
train_0043.jpg	cheyer	straight	sad	sunglasses
train_0044.jpg	danieln	straight	angry	sunglasses
train_0045.jpg	boland	up	neutral	open
train_0046.jpg	choon	left	happy	sunglasses
train_0047.jpg	boland	left	sad	sunglasses
train_0048.jpg	sz24	straight	happy	sunglasses
train_0049.jpg	mitchell	left	sad	open
train_0050.jpg	boland	straight	happy	sunglasses
train_0051.jpg	tammo	up	neutral	open
train_0052.jpg	phoebe	right	happy	open
train_0053.jpg	night	left	neutral	sunglasses
train_0054.jpg	sz24	left	neutral	open
train_0055.jpg	kawamura	right	sad	open
train_0056.jpg	bpm	straight	happy	sunglasses
train_0057.jpg	mitchell	straight	sad	sunglasses
train_0058.jpg	ch4f	up	sad	open
train_0059.jpg	steffi	straight	neutral	sunglasses
train_0060.jpg	kawamura	up	angry	open
train_0061.jpg	phoebe	straight	happy	sunglasses
train_0062.jpg	an2i	left	sad	sunglasses
train_0063.jpg	tammo	straight	neutral	sunglasses
train_0064.jpg	kk49	left	angry	sunglasses
train_0065.jpg	phoebe	right	angry	open
train_0066.jpg	boland	straight	neutral	sunglasses
train_0067.jpg	an2i	up	sad	open
train_0068.jpg	saavik	up	angry	open
train_0069.jpg	cheyer	left	neutral	open
train_0070.jpg	night	straight	happy	sunglasses
train_0071.jpg	choon	straight	neutral	sunglasses
train_0072.jpg	kawamura	straight	neutral	open
train_0073.jpg	at33	left	angry	sunglasses
train_0074.jpg	at33	up	sad	open
train_0075.jpg	bpm	up	happy	open
train_0076.jpg	ch4f	right	angry	sunglasses
train_0077.jpg	at33	right	neutral	open
train_0078.jpg	ch4f	right	neutral	open
train_0079.jpg	mitchell	right	sad	open
train_0080.jpg	kawamura	straight	neutral	sunglasses
train_0081.jpg	night	right	sad	open
train_0082.jpg	kawamura	right	sad	sunglasses
train_0083.jpg	at33	up	sad	sunglasses
train_0084.jpg	an2i	left	sad	open
train_0085.jpg	mitchell	straight	happy	sunglasses
train_0086.jpg	choon	left	angry	open
train_0087.jpg	sz24	up	happy	sunglasses
train_0088.jpg	choon	up	angry	sunglasses
train_0089.jpg	ch4f	left	angry	sunglasses
train_0090.jpg	saavik	right	happy	sunglasses
train_0091.jpg	at33	straight	sad	sunglasses
train_0092.jpg	saavik	right	sad	open
train_0093.jpg	ch4f	right	angry	open
train_0094.jpg	ch4f	left	happy	sunglasses
train_0095.jpg	bpm	straight	sad	open
train_0096.jpg	sz24	right	sad	open
train_0097.jpg	night	up	neutral	open
train_0098.jpg	an2i	up	neutral	sunglasses
train_0099.jpg	tammo	left	angry	open
train_0100.jpg	kk49	up	neutral	sunglasses
train_0101.jpg	boland	up	angry	open
train_0102.jpg	ch4f	left	sad	open
train_0103.jpg	kk49	straight	happy	sunglasses
train_0104.jpg	sz24	left	happy	sunglasses
train_0105.jpg	glickman	straight	sad	sunglasses
train_0106.jpg	steffi	up	neutral	open
train_0107.jpg	mitchell	straight	sad	open
train_0108.jpg	choon	left	neutral	sunglasses
train_0109.jpg	karyadi	straight	sad	sunglasses
train_0110.jpg	steffi	right	angry	open
train_0111.jpg	at33	up	happy	sunglasses
train_0112.jpg	sz24	straight	neutral	sunglasses
train_0113.jpg	megak	right	neutral	sunglasses
train_0114.jpg	phoebe	up	neutral	open
train_0115.jpg	phoebe	up	angry	sunglasses
train_0116.jpg	an2i	left	neutral	open
train_0117.jpg	cheyer	straight	sad	open
train_0118.jpg	mitchell	right	angry	open
train_0119.jpg	boland	up	happy	sunglasses
train_0120.jpg	night	up	angry	sunglasses
train_0121.jpg	saavik	up	neutral	sunglasses
train_0122.jpg	boland	right	neutral	open
train_0123.jpg	kawamura	left	neutral	open
train_0124.jpg	bpm	up	angry	open
train_0125.jpg	danieln	up	neutral	open
train_0126.jpg	phoebe	right	angry	sunglasses
train_0127.jpg	choon	left	neutral	open
train_0128.jpg	sz24	up	neutral	sunglasses
train_0129.jpg	saavik	straight	neutral	sunglasses
train_0130.jpg	glickman	right	sad	sunglasses
train_0131.jpg	an2i	straight	angry	open
train_0132.jpg	night	right	happy	open
train_0133.jpg	an2i	right	angry	open
train_0134.jpg	choon	straight	happy	sunglasses
train_0135.jpg	boland	straight	angry	open
train_0136.jpg	glickman	straight	happy	sunglasses
train_0137.jpg	an2i	straight	happy	sunglasses
train_0138.jpg	at33	left	angry	open
train_0139.jpg	bpm	straight	neutral	sunglasses
train_0140.jpg	choon	right	angry	sunglasses
train_0141.jpg	tammo	up	angry	open
train_0142.jpg	karyadi	left	sad	open
train_0143.jpg	danieln	up	angry	open
train_0144.jpg	bpm	straight	angry	sunglasses
train_0145.jpg	saavik	left	happy	sunglasses
train_0146.jpg	kawamura	up	angry	sunglasses
train_0147.jpg	danieln	right	sad	open
train_0148.jpg	megak	straight	sad	open
train_0149.jpg	at33	straight	angry	open
train_0150.jpg	tammo	up	angry	sunglasses
train_0151.jpg	kk49	left	angry	open
train_0152.jpg	cheyer	left	angry	open
train_0153.jpg	choon	right	happy	open
train_0154.jpg	tammo	left	sad	sunglasses
train_0155.jpg	bpm	right	happy	sunglasses
train_0156.jpg	boland	left	neutral	sunglasses
train_0157.jpg	night	right	neutral	sunglasses
train_0158.jpg	ch4f	up	sad	sunglasses
train_0159.jpg	phoebe	right	happy	sunglasses
train_0160.jpg	danieln	up	happy	open
train_0161.jpg	night	straight	neutral	open
train_0162.jpg	glickman	left	happy	sunglasses
train_0163.jpg	tammo	right	sad	sunglasses
train_0164.jpg	kawamura	straight	angry	open
train_0165.jpg	saavik	up	sad	sunglasses
train_0166.jpg	sz24	straight	angry	open
train_0167.jpg	bpm	left	happy	sunglasses
train_0168.jpg	choon	up	angry	open
train_0169.jpg	saavik	right	angry	sunglasses
train_0170.jpg	karyadi	up	sad	open
train_0171.jpg	danieln	straight	sad	open
train_0172.jpg	cheyer	left	happy	sunglasses
train_0173.jpg	cheyer	right	angry	open
train_0174.jpg	bpm	right	sad	open
train_0175.jpg	kawamura	left	happy	sunglasses
train_0176.jpg	choon	right	neutral	open
train_0177.jpg	mitchell	up	happy	open
train_0178.jpg	ch4f	up	neutral	open
train_0179.jpg	phoebe	left	happy	sunglasses
train_0180.jpg	boland	up	happy	open
train_0181.jpg	bpm	up	neutral	sunglasses
train_0182.jpg	cheyer	right	sad	sunglasses
train_0183.jpg	bpm	left	angry	sunglasses
train_0184.jpg	karyadi	up	sad	sunglasses
train_0185.jpg	mitchell	straight	neutral	sunglasses
train_0186.jpg	kawamura	right	happy	open
train_0187.jpg	phoebe	left	angry	sunglasses
train_0188.jpg	danieln	right	happy	open
train_0189.jpg	bpm	left	neutral	open
train_0190.jpg	sz24	right	sad	sunglasses
train_0191.jpg	steffi	left	angry	open
train_0192.jpg	steffi	left	neutral	sunglasses
train_0193.jpg	tammo	left	sad	open
train_0194.jpg	glickman	up	angry	open
train_0195.jpg	steffi	straight	neutral	open
train_0196.jpg	tammo	right	neutral	sunglasses
train_0197.jpg	choon	left	sad	sunglasses
train_0198.jpg	sz24	right	neutral	sunglasses
train_0199.jpg	ch4f	right	neutral	sunglasses
train_0200.jpg	an2i	straight	sad	open
train_0201.jpg	steffi	right	sad	open
train_0202.jpg	megak	up	sad	open
train_0203.jpg	kk49	straight	neutral	sunglasses
train_0204.jpg	tammo	right	neutral	open
train_0205.jpg	kk49	straight	happy	open
train_0206.jpg	tammo	straight	sad	sunglasses
train_0207.jpg	bpm	up	sad	open
train_0208.jpg	mitchell	right	happy	open
train_0209.jpg	ch4f	up	neutral	sunglasses
train_0210.jpg	boland	left	happy	sunglasses
train_0211.jpg	steffi	up	sad	open
train_0212.jpg	kawamura	right	angry	open
train_0213.jpg	an2i	up	angry	sunglasses
train_0214.jpg	karyadi	up	happy	sunglasses
train_0215.jpg	an2i	left	angry	open
train_0216.jpg	an2i	right	sad	sunglasses
train_0217.jpg	mitchell	up	sad	open
train_0218.jpg	kawamura	left	happy	open
train_0219.jpg	an2i	up	angry	open
train_0220.jpg	night	right	sad	sunglasses
train_0221.jpg	night	straight	sad	open
train_0222.jpg	glickman	up	happy	open
train_0223.jpg	kawamura	straight	happy	open
train_0224.jpg	ch4f	up	happy	open
train_0225.jpg	saavik	straight	neutral	open
train_0226.jpg	danieln	right	neutral	open
train_0227.jpg	sz24	straight	neutral	open
train_0228.jpg	night	up	sad	sunglasses
train_0229.jpg	choon	left	happy	open
train_0230.jpg	saavik	left	angry	open
train_0231.jpg	karyadi	left	happy	open
train_0232.jpg	sz24	straight	sad	sunglasses
train_0233.jpg	at33	left	neutral	open
train_0234.jpg	cheyer	left	sad	sunglasses
train_0235.jpg	steffi	right	sad	sunglasses
train_0236.jpg	night	right	angry	open
train_0237.jpg	bpm	right	angry	sunglasses
train_0238.jpg	kawamura	up	sad	sunglasses
train_0239.jpg	glickman	left	neutral	sunglasses
train_0240.jpg	kawamura	up	neutral	sunglasses
train_0241.jpg	at33	left	sad	open
train_0242.jpg	mitchell	left	happy	sunglasses
train_0243.jpg	kawamura	right	happy	sunglasses
train_0244.jpg	tammo	up	happy	open
train_0245.jpg	mitchell	up	angry	sunglasses
train_0246.jpg	steffi	left	neutral	open
train_0247.jpg	mitchell	left	neutral	open
train_0248.jpg	tammo	left	angry	sunglasses
train_0249.jpg	danieln	right	angry	open
train_0250.jpg	phoebe	up	happy	open
train_0251.jpg	phoebe	straight	angry	sunglasses
train_0252.jpg	glickman	up	sad	sunglasses
train_0253.jpg	ch4f	straight	sad	open
train_0254.jpg	night	up	sad	open
train_0255.jpg	mitchell	right	sad	sunglasses
train_0256.jpg	tammo	up	neutral	sunglasses
train_0257.jpg	karyadi	straight	angry	open
train_0258.jpg	kawamura	up	neutral	open
train_0259.jpg	glickman	straight	angry	sunglasses
train_0260.jpg	kk49	right	angry	sunglasses
train_0261.jpg	ch4f	straight	neutral	sunglasses
train_0262.jpg	kawamura	up	happy	sunglasses
train_0263.jpg	danieln	right	angry	sunglasses
train_0264.jpg	tammo	up	sad	sunglasses
train_0265.jpg	an2i	up	happy	open
train_0266.jpg	saavik	straight	angry	sunglasses
train_0267.jpg	tammo	right	angry	sunglasses
train_0268.jpg	steffi	up	neutral	sunglasses
train_0269.jpg	boland	up	neutral	sunglasses
train_0270.jpg	tammo	straight	angry	open
train_0271.jpg	boland	right	sad	sunglasses
train_0272.jpg	kk49	up	happy	open
train_0273.jpg	choon	right	happy	sunglasses
train_0274.jpg	danieln	straight	angry	open
train_0275.jpg	megak	left	angry	open
train_0276.jpg	tammo	up	happy	sunglasses
train_0277.jpg	choon	up	sad	sunglasses
train_0278.jpg	steffi	left	sad	open
train_0279.jpg	tammo	straight	angry	sunglasses
train_0280.jpg	an2i	right	angry	sunglasses
train_0281.jpg	bpm	left	sad	sunglasses
train_0282.jpg	kk49	up	sad	open
train_0283.jpg	kawamura	straight	angry	sunglasses
train_0284.jpg	bpm	right	neutral	open
train_0285.jpg	ch4f	right	sad	open
train_0286.jpg	choon	up	neutral	open
train_0287.jpg	phoebe	up	neutral	sunglasses
train_0288.jpg	kawamura	left	angry	open
train_0289.jpg	danieln	up	angry	sunglasses
train_0290.jpg	steffi	straight	sad	sunglasses
train_0291.jpg	karyadi	left	angry	sunglasses
train_0292.jpg	an2i	right	neutral	open
train_0293.jpg	megak	up	angry	sunglasses
train_0294.jpg	an2i	straight	happy	open
train_0295.jpg	kk49	right	sad	open
train_0296.jpg	at33	straight	neutral	open
train_0297.jpg	sz24	left	sad	sunglasses
train_0298.jpg	ch4f	straight	angry	sunglasses
train_0299.jpg	cheyer	right	sad	open
train_0300.jpg	sz24	up	neutral	open
train_0301.jpg	sz24	right	happy	open
train_0302.jpg	megak	up	neutral	sunglasses
train_0303.jpg	danieln	up	sad	sunglasses
train_0304.jpg	glickman	right	happy	open
train_0305.jpg	cheyer	up	happy	sunglasses
train_0306.jpg	danieln	left	happy	open
train_0307.jpg	karyadi	straight	neutral	open
train_0308.jpg	kk49	straight	neutral	open
train_0309.jpg	karyadi	left	neutral	sunglasses
train_0310.jpg	at33	left	happy	open
train_0311.jpg	danieln	left	angry	open
